Amount,Hour,PreviousTransactions,International,NewDevice,HighRiskCountry,Fraud
11465.73,0,16,0,1,1,1
12280.89,14,12,1,1,0,1
9852.37,5,6,1,0,0,0
13166.02,16,24,1,0,1,1
11274.09,12,40,0,0,0,0
3353.89,11,10,1,1,0,0
14930.79,15,19,0,1,1,1
6786.94,1,3,1,1,1,1
14226.09,19,8,0,0,0,0
443.75,10,31,0,0,1,0
14052.17,17,40,0,0,1,1
11309.94,9,13,1,1,0,1
1803.04,20,23,1,1,0,0
3171.32,2,15,1,1,0,1
14938.99,12,10,0,0,1,1
10677.33,7,27,0,0,1,1
14214.94,11,30,1,1,1,1
844.26,3,16,0,0,0,0
14921.0,8,3,0,0,1,1
1034.71,4,22,0,1,0,0
117.58,7,16,0,1,1,1
11559.56,12,36,1,0,1,1
3364.62,21,9,0,0,0,0
2543.67,20,34,1,1,1,1
2206.3,3,20,0,1,0,0
7022.9,7,22,0,0,0,0
12649.98,17,23,1,0,0,0
483.83,1,26,1,1,0,1
8436.87,19,24,1,1,1,1
396.05,13,24,0,0,0,0
9095.6,5,7,1,1,1,1
3561.54,3,7,0,0,1,0
9286.62,7,20,1,0,0,0
8184.53,13,19,0,1,1,1
278.93,5,21,0,0,0,0
4033.98,12,27,0,1,0,0
13277.33,21,40,1,0,0,0
6681.99,10,37,1,1,0,1
8940.49,13,15,0,1,1,1
14130.83,3,36,0,1,0,1
9820.13,19,7,1,1,0,1
9695.62,12,22,1,0,0,0
5564.81,7,21,1,1,1,1
7748.97,1,26,1,1,0,1
1258.6,23,0,1,1,1,1
11943.55,23,3,1,0,0,1
985.05,15,16,0,1,1,1
3191.2,2,10,0,0,0,0
12556.99,13,10,1,1,0,1
3169.63,6,36,0,0,0,0
12084.87,19,23,0,1,0,0
11636.5,19,5,1,1,1,1
9096.52,14,5,0,1,1,1
1922.4,17,6,0,1,1,1
8375.09,9,35,1,0,0,0
9856.32,15,7,0,1,0,1
12595.86,23,31,1,0,0,1
10889.41,23,28,1,1,1,1
5166.7,7,30,0,1,0,0
12406.31,11,26,0,1,0,0
197.19,13,19,1,1,1,1
4233.95,14,22,0,1,0,0
14530.04,7,12,1,1,1,1
2181.18,12,13,0,1,1,1
8921.56,13,17,1,1,1,1
11387.07,0,4,1,1,0,1
11101.35,11,26,1,1,0,1
673.74,8,30,1,0,1,1
4387.09,5,19,0,1,1,1
13406.47,12,9,1,1,1,1
8609.89,21,5,0,0,0,0
3245.18,8,28,1,0,0,0
6722.64,9,37,0,1,0,0
14306.72,23,21,0,0,1,1
9602.5,1,21,0,1,0,1
11796.92,7,8,0,1,1,1
9196.51,9,32,0,0,1,1
12622.32,0,27,0,1,1,1
2529.57,8,38,0,0,1,0
5837.23,23,40,1,0,0,0
7450.8,20,30,1,1,0,1
1845.86,14,15,0,1,1,1
14178.13,2,1,1,1,1,1
9959.19,20,8,1,1,1,1
2442.3,21,23,1,1,0,0
14263.19,10,20,1,0,0,0
2505.84,23,5,0,0,1,0
8911.46,10,10,0,0,1,1
953.73,20,31,1,1,1,1
2628.84,8,4,1,0,1,1
13070.56,8,8,0,0,1,1
12389.28,15,11,0,0,1,1
13718.59,14,14,0,0,0,0
11385.04,1,18,0,0,1,1
13359.47,2,23,0,1,0,1
9469.09,21,24,1,0,0,1
9604.71,20,6,0,0,0,0
10204.84,19,9,0,1,0,0
14234.71,8,3,0,1,0,1
5506.26,5,33,0,1,1,1
2576.0,9,34,1,0,0,0
9359.62,7,34,0,0,1,1
5453.77,23,32,1,0,0,0
7892.59,18,8,0,0,1,0
12392.52,23,33,0,1,0,1
9396.62,14,17,0,0,1,1
6107.14,15,20,1,1,0,1
8043.91,19,34,0,0,1,1
12787.84,16,22,0,0,1,1
4942.82,5,4,0,0,1,0
3456.2,8,21,1,0,0,0
5102.19,14,8,0,1,0,0
4796.12,2,30,0,0,0,0
10297.75,10,16,1,0,0,0
2723.14,21,22,1,1,0,0
10247.68,4,1,1,0,1,1
7855.04,12,13,1,1,0,1
7706.43,18,16,1,0,0,0
8776.55,7,22,0,1,1,1
13896.61,12,5,1,0,0,0
12718.8,2,22,0,0,1,1
9387.26,5,24,0,0,1,1
6673.53,21,3,1,0,1,1
3137.64,3,23,0,1,0,0
3547.0,6,19,0,0,0,0
9027.69,6,24,0,0,1,1
12307.61,18,35,1,1,0,1
6834.4,7,14,1,1,1,1
4371.23,5,13,1,1,0,0
2212.0,19,20,1,0,0,0
8162.03,7,14,1,1,0,1
8811.02,19,15,0,1,0,0
3411.03,22,0,0,1,1,1
5815.88,2,20,1,0,0,0
9547.13,9,31,0,0,0,0
1769.5,11,8,0,1,1,1
4417.78,16,39,1,1,1,1
1246.57,22,35,0,1,1,1
8554.77,17,2,1,0,1,1
13336.49,12,2,1,0,1,1
6023.13,19,5,0,0,0,0
8037.25,22,37,0,1,0,0
4358.42,5,30,0,1,0,0
11568.7,20,21,1,1,1,1
11342.13,15,23,1,0,0,0
9278.79,19,33,0,1,0,0
10090.63,10,13,1,0,1,1
4120.22,4,29,1,0,1,1
5848.69,4,20,1,1,1,1
7153.58,15,28,0,0,0,0
648.44,3,12,1,1,1,1
7641.37,4,40,1,1,0,1
14158.82,11,19,0,1,1,1
3111.13,21,16,0,0,1,0
11358.83,14,15,1,0,1,1
4797.75,14,33,0,0,1,0
6366.26,11,21,0,0,0,0
5779.52,23,36,1,0,1,1
491.6,16,8,1,0,0,0
10342.06,22,29,0,1,1,1
6452.06,0,12,0,1,1,1
12878.12,9,38,0,0,0,0
4065.67,15,12,1,1,0,0
3127.31,19,19,1,0,0,0
8696.67,10,2,1,0,1,1
7734.46,10,21,1,0,0,0
12318.34,19,16,0,0,1,1
9205.48,8,24,1,0,0,0
4914.26,4,8,0,0,0,0
7260.41,17,6,0,0,0,0
5001.96,13,14,0,1,1,1
2504.79,17,31,0,1,1,1
7989.19,12,19,1,1,1,1
10082.7,8,24,0,0,0,0
577.92,3,35,0,1,0,0
5754.93,2,10,0,1,1,1
11132.45,16,14,0,0,1,1
